"Format","MoTeC CSV",,,"Workbook","Samples"
"Venue","Interlagos",,,"Worksheet","Graph"
"Vehicle","SupV8: Calvin Klos #10",,,"Vehicle Desc","SupV8: Calvin Klos #10"
"Driver","Joao Guilherme",,,"Engine ID",""
"Device","ADL"
"Comment","(Exported from rFactor Data Acquisition Plugin v1.3.2.0)",,,"Session",""
"Log Date","21/03/2020",,,"Origin Time","0.000","s"
"Log Time","01:18",,,"Start Time","0.000","s"
"Sample Rate","102.400","Hz",,"End Time","318.896","s"
"Duration","318.896","s",,"Start Distance","0","m"
"Range","entire outing",,,"End Distance","11163","m"

"Time","Distance","Engine RPM","Corr Speed","Throttle Pos","G Force Lat","G Force Long"
"Time","Distance","Engine RPM","Corr Speed","Throttle Pos","G Force Lat","G Force Long"
"s","m","rpm","km/h","%","G","G"


"3.818","11","1863","26.3","19.05","0.385","-0.186"
"3.828","11","1868","26.4","19.05","0.379","-0.187"
"3.838","11","1873","26.5","19.05","0.372","-0.189"
"3.848","11","1878","26.6","19.05","0.364","-0.191"
"3.857","11","1883","26.6","19.05","0.352","-0.194"
"3.867","11","1887","26.7","19.05","0.356","-0.193"
"3.877","11","1892","26.8","19.05","0.443","-0.174"
"3.887","11","1897","26.9","19.05","0.406","-0.177"
"3.896","11","1902","27.0","19.05","0.394","-0.179"
"3.906","11","1908","27.0","19.59","0.390","-0.182"
"3.916","12","1915","27.1","19.84","0.389","-0.187"
"3.926","12","1921","27.2","19.84","0.392","-0.191"
"3.936","12","1927","27.3","19.84","0.398","-0.191"
"3.945","12","1933","27.4","19.84","0.402","-0.192"
"3.955","12","1939","27.4","19.84","0.404","-0.193"
"3.965","12","1944","27.5","19.84","0.406","-0.193"
"3.975","12","1950","27.6","19.84","0.407","-0.193"
"3.984","12","1955","27.7","19.84","0.410","-0.193"
"3.994","12","1961","27.8","19.84","0.411","-0.193"
"4.004","12","1966","27.8","19.84","0.412","-0.193"
"4.014","12","1971","27.9","19.84","0.412","-0.193"
